test_name,run_id,duration_ms,pass_fail,retry_count,browser,headless_mode,timestamp,cpu_load,memory_usage,network_latency
auth.spec::login_success,run-0001,132,1,0,chromium,True,2026-01-01T09:00:00+00:00,53.01,457.19,45.36
checkout.spec::payment_flow,run-0001,865,1,0,chromium,True,2026-01-01T09:00:00+00:00,49.23,805.58,45.61
orders.spec::list_recent,run-0001,433,1,0,chromium,True,2026-01-01T09:00:00+00:00,55.87,662.21,39.39
profile.spec::upload_avatar,run-0001,514,0,0,chromium,True,2026-01-01T09:00:00+00:00,47.9,738.83,57.69
search.spec::filter_results,run-0001,394,1,0,chromium,True,2026-01-01T09:00:00+00:00,39.72,585.63,35.4
notifications.spec::websocket_push,run-0001,756,1,0,chromium,True,2026-01-01T09:00:00+00:00,54.91,907.29,57.05
auth.spec::login_success,run-0002,171,1,0,firefox,False,2026-01-01T09:07:00+00:00,49.76,626.59,26.58
checkout.spec::payment_flow,run-0002,752,0,0,firefox,False,2026-01-01T09:07:00+00:00,56.83,882.37,57.21
orders.spec::list_recent,run-0002,389,1,0,firefox,False,2026-01-01T09:07:00+00:00,46.79,684.43,40.0
profile.spec::upload_avatar,run-0002,627,0,0,firefox,False,2026-01-01T09:07:00+00:00,54.71,668.86,50.62
search.spec::filter_results,run-0002,263,1,0,firefox,False,2026-01-01T09:07:00+00:00,41.25,687.22,29.58
notifications.spec::websocket_push,run-0002,832,1,0,firefox,False,2026-01-01T09:07:00+00:00,47.25,798.45,31.91
auth.spec::login_success,run-0003,262,1,0,webkit,True,2026-01-01T09:14:00+00:00,40.11,539.07,45.87
checkout.spec::payment_flow,run-0003,699,0,0,webkit,True,2026-01-01T09:14:00+00:00,40.21,879.84,35.8
orders.spec::list_recent,run-0003,426,1,0,webkit,True,2026-01-01T09:14:00+00:00,46.19,670.91,33.47
profile.spec::upload_avatar,run-0003,670,1,0,webkit,True,2026-01-01T09:14:00+00:00,44.77,728.0,39.21
search.spec::filter_results,run-0003,337,1,0,webkit,True,2026-01-01T09:14:00+00:00,44.12,631.44,31.62
notifications.spec::websocket_push,run-0003,794,1,0,webkit,True,2026-01-01T09:14:00+00:00,46.37,785.12,50.92
auth.spec::login_success,run-0004,102,1,0,chromium,False,2026-01-01T09:21:00+00:00,33.63,586.49,20.48
checkout.spec::payment_flow,run-0004,805,1,0,chromium,False,2026-01-01T09:21:00+00:00,45.84,893.06,64.99
orders.spec::list_recent,run-0004,353,1,0,chromium,False,2026-01-01T09:21:00+00:00,41.21,682.72,27.2
profile.spec::upload_avatar,run-0004,646,0,0,chromium,False,2026-01-01T09:21:00+00:00,33.94,752.97,40.02
search.spec::filter_results,run-0004,318,1,0,chromium,False,2026-01-01T09:21:00+00:00,60.02,591.84,37.51
notifications.spec::websocket_push,run-0004,737,0,0,chromium,False,2026-01-01T09:21:00+00:00,58.95,809.13,68.41
auth.spec::login_success,run-0005,121,1,0,firefox,True,2026-01-01T09:28:00+00:00,34.33,543.06,28.67
checkout.spec::payment_flow,run-0005,924,1,0,firefox,True,2026-01-01T09:28:00+00:00,34.69,796.64,46.73
orders.spec::list_recent,run-0005,438,1,0,firefox,True,2026-01-01T09:28:00+00:00,73.74,659.29,62.56
profile.spec::upload_avatar,run-0005,384,1,0,firefox,True,2026-01-01T09:28:00+00:00,40.27,726.16,50.36
search.spec::filter_results,run-0005,289,1,0,firefox,True,2026-01-01T09:28:00+00:00,45.57,596.28,50.04
notifications.spec::websocket_push,run-0005,497,1,0,firefox,True,2026-01-01T09:28:00+00:00,50.06,886.74,46.26
auth.spec::login_success,run-0006,283,1,0,webkit,False,2026-01-01T09:35:00+00:00,31.75,511.42,30.36
checkout.spec::payment_flow,run-0006,1101,1,0,webkit,False,2026-01-01T09:35:00+00:00,57.78,802.84,39.54
orders.spec::list_recent,run-0006,401,1,0,webkit,False,2026-01-01T09:35:00+00:00,44.19,600.49,36.72
profile.spec::upload_avatar,run-0006,484,0,0,webkit,False,2026-01-01T09:35:00+00:00,50.13,835.85,31.81
